"dish","Allergen","Description","Order","Price"
"Yiincredible Crunch Wrap","""Dairy, Wheat""","""A crispy tortilla filled with layers of seasoned grilled chicken (or jackfruit for a veggie version), zesty guacamole, fresh salsa, shredded lettuce, and a blend of melted cheese—wrapped tight and grilled to perfection.""","5","$20"
"Capacitor Cracklins","None","Pork rinds topped with a chili-lime spice for a shocking crunch.","2","$6"
"Sides","","","12",""
"Drinks","","","15",""
"Breadboard Biscuits","""Wheat, Dairy""","Flaky cheddar-chive biscuits with butter.","13","$4"
"Appetizers","","","1",""
"Lance's Lasagna","""Wheat, Dairy, Eggs""","""Layered pasta with spicy sausage, roasted veg, ricotta, mozzarella & marinara—wired for comfort.""","6","$13"
"Ohmlette","""Egg, Dairy, Wheat""","""Omelet with onions, peppers, ham, and cheddar. Served with buttered toast.""","7","$9"
"Ohm Fries","None","Potato fries topped with our signature seasoning and served with the choice of resistor ranch and voltage vinegar dressings.","3","$6"
"The Power Plate","""Soy, Sesame, Wheat""","Chicken over brown rice with steamed greens and served with current curry sauce to power your day.","11","$13"
"Short Circuit Sliders","""Wheat, Dairy, Eggs""","""Three small sliders containing beef, cheese, and onion straws topped with """"overload"""" sauce.""","9","$10"
"Water","None","Our water is sourced from the water fountain on the first floor of the Engineering Lab building on Kennesaw State University's Marietta campus.","17","Free"
"Margarita's Margarita","None","""Classic margarita with a charged twist—lime, tequila, orange liqueur, and a rim of pink Himalayan salt.""","16","$20"
"Diode Slaw","Eggs","Tangy apple-jalapeño cabbage slaw with a citrus-vinegar kick.","14","$4"
"Mains","","","4",""
"Buck's BBQ Ribs","""Wheat, Dairy, Eggs""","Slow-cooked baby back ribs glazed with Amp Sauce. Served with Breadboard Biscuits.","10","$15"
"NANDwich","""Wheat, Dairy, Egg""","""Smoked turkey, bacon, cheddar, avocado aioli on grilled sourdough.""","8","$11"
"Klein's Koffee","Dairy (substitute oat milk)","A high-voltage cold brew with a twist of cardamom and a mocha finish—served on ice or piping hot.","18","$4"
